RHO	Accuracy	Lyapunov Exponent
1.0	0.94212962962963	-0.101175707747845
2.0	0.944444444444444	-1.88144178285873
3.0	0.958333333333333	-1.4038306249024
4.0	0.962962962962963	-0.949026387496579
5.0	0.962962962962963	-0.897848533673247
6.0	0.962962962962963	-0.811890872389402
7.0	0.965277777777778	-0.635346828601544
8.0	0.972222222222222	-0.566813705784166
9.0	0.967592592592593	-0.54337808794354
10.0	0.967592592592593	-0.46351977217286
11.0	0.967592592592593	-0.36720162065691
12.0	0.967592592592593	-0.486290929410279
13.0	0.969907407407407	-0.419230130395181
14.0	0.972222222222222	-0.380324946800278
15.0	0.972222222222222	-0.34014324553232
16.0	0.976851851851852	-0.304791812432375
17.0	0.976851851851852	-0.267371551880436
18.0	0.976851851851852	-0.228898382548759
19.0	0.976851851851852	-0.190390993902748
20.0	0.976851851851852	-0.150795797459516
21.0	0.976851851851852	-0.107402822753625
22.0	0.976851851851852	-0.0422894195716708
23.0	0.976851851851852	0.0578120198058653
24.0	0.976851851851852	0.315275173458088
25.0	0.976851851851852	0.744887605868326
26.0	0.976851851851852	0.907694567658415
27.0	0.976851851851852	0.949935883286341
28.0	0.976851851851852	0.92346973186798
29.0	0.976851851851852	0.915760526059319
30.0	0.976851851851852	0.805249571138277
31.0	0.976851851851852	0.760296489289056
32.0	0.979166666666667	0.80688616896698
33.0	0.976851851851852	0.927032488362972
34.0	0.976851851851852	1.05770595311123
35.0	0.979166666666667	1.1910851070291
36.0	0.979166666666667	1.09233219193309
37.0	0.981481481481482	1.28821625127913
38.0	0.981481481481482	1.32461978947275
39.0	0.979166666666667	1.2962246565257
40.0	0.981481481481482	1.19001883579819
41.0	0.981481481481482	1.39492529120185
42.0	0.983796296296296	1.38796696544287
43.0	0.981481481481482	1.39910619800293
44.0	0.979166666666667	1.34488720354606
45.0	0.983796296296296	1.10058581322175
46.0	0.983796296296296	1.32442619582137
47.0	0.983796296296296	1.24961784752376
48.0	0.981481481481482	1.27497294694103
49.0	0.981481481481482	1.48358033325146
50.0	0.983796296296296	1.47056598668312
51.0	0.983796296296296	1.45633712891144
52.0	0.981481481481482	1.61648436211214
53.0	0.983796296296296	1.44115030060671
54.0	0.981481481481482	1.35198044381336
55.0	0.983796296296296	1.49229475648928
55.0	0.983796296296296	1.49229475648928
56.0	0.983796296296296	1.1772287319167
57.0	0.983796296296296	1.30312694172199
58.0	0.981481481481482	1.41698258820543
59.0	0.981481481481482	1.45009185863354
60.0	0.986111111111111	1.55460773905355
61.0	0.986111111111111	1.5012578372686
62.0	0.981481481481482	1.43928867432274
63.0	0.983796296296296	1.32369432745099
64.0	0.983796296296296	1.50576688258915
65.0	0.983796296296296	1.45534712090751
66.0	0.983796296296296	1.31122902294362
67.0	0.983796296296296	1.38720715413794
68.0	0.983796296296296	1.56785388019008
69.0	0.983796296296296	1.20357516749206
70.0	0.986111111111111	1.31123273541456
71.0	0.983796296296296	1.49947197496182
72.0	0.983796296296296	1.25207797583169
73.0	0.983796296296296	1.19864186090941
74.0	0.983796296296296	1.1947840823677
75.0	0.983796296296296	1.63045157294504
76.0	0.983796296296296	1.63440700225952
77.0	0.983796296296296	1.3980208568349
78.0	0.981481481481482	1.45138791241189
79.0	0.986111111111111	1.42048924565264
80.0	0.983796296296296	1.28835651910693
81.0	0.983796296296296	1.27184627495486
82.0	0.983796296296296	1.27372410999549
83.0	0.983796296296296	1.31931081100207
84.0	0.983796296296296	1.46143321489653
85.0	0.983796296296296	1.36475180883237
86.0	0.983796296296296	1.42341862680367
87.0	0.983796296296296	1.36899010024126
88.0	0.983796296296296	1.52493095264208
89.0	0.986111111111111	1.46728601475436
90.0	0.986111111111111	1.40080565483744
91.0	0.986111111111111	1.4681791213327
92.0	0.983796296296296	0.347237364186791
93.0	0.983796296296296	1.48647781237988
94.0	0.983796296296296	1.49217076005976
95.0	0.986111111111111	1.49462475448107
96.0	0.986111111111111	1.60519297051035
97.0	0.986111111111111	1.40907096980662
98.0	0.986111111111111	1.09219242407786
99.0	0.986111111111111	1.22022822026537
100.0	0.983796296296296	0.142640535992523


